scan_index,t,odom_index,x,y,theta,selected_cluster_mass,candidate_cluster_mass,candidate_cluster_count,best_particle,best_particle_weight,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,selected_switched,hypothesis_switches,ess,ess_ratio,beams,mean_log_likelihood,stable_now,accepted,reference_x,reference_y,reference_theta,reference_position_error_m,reference_heading_error_rad
0,0.0,0,2.7949159620462636,0.7205430006690596,-0.975965203819079,1.0,1.0,500,551,0.9118473187557283,0.0,0,1.0,0.0,0,0,0,1.1917199046635627,0.00011917199046635627,120,-1092.0960791015625,1,0,6.844,7.4472,3.106686,7.851305364909689,2.2005341033605075
4,0.4004908800125122,0,2.7951194172790905,0.7141296828303854,-0.9783921608913878,0.9999999999999994,0.9999999999999994,9900,0,0.00010801609328905194,0.9999999999999994,9900,0.9999999999999994,0.0,0,0,0,9431.721235615752,0.9431721235615752,120,-13.325,0,0,6.844,7.4472,3.106686,7.856695862071088,2.198107146288199
8,0.8023958206176758,0,2.7951915302648462,0.7127000466507315,-0.9789029470858881,1.0000000000000004,1.0000000000000004,9900,0,0.00010957148790348542,1.0000000000000004,9900,1.0000000000000004,0.0,0,0,0,9216.983427934094,0.9216983427934093,120,-12.6297314453125,0,0,6.844,7.4472,3.106686,7.85788391656815,2.1975963600936983
12,1.2039695978164673,0,2.7952415309015306,0.7117647529282429,-0.9792328803644381,1.0,1.0,9900,0,0.00011058891068038822,1.0,9900,1.0,0.0,0,0,0,9059.67681150366,0.905967681150366,120,-13.015498046875,0,0,6.844,7.4472,3.106686,7.858659752692768,2.197266426815149
16,1.6045506000518799,1,2.787426107269427,0.7232991522740694,-0.9846029664533966,0.9999999999999997,0.9999999999999997,9900,1552,0.00037460515516646705,0.9999999999999997,9900,0.9999999999999997,0.0,0,0,0,6857.3002482796655,0.6857300248279665,120,-15.3905908203125,0,0,6.844,7.4472,3.106686,7.85281060240426,2.1918963407261907
20,2.005031108856201,5,2.7759652846017806,0.7404887173178909,-0.982985389951806,0.9999999999999999,0.9999999999999999,9893,6532,0.000782138924700194,0.9999999999999999,9893,0.9999999999999999,0.0,0,0,0,4527.909713239617,0.45279097132396173,120,-15.803369140625,0,0,6.844,7.4472,3.106686,7.844034846616923,2.1935139172277807
24,2.4054553508758545,9,2.75772448932526,0.7680592942891558,-0.9969922710088714,0.9999989492172975,0.9999989492172975,9833,5075,0.002136069671999618,1.0,9834,0.9999989492172975,0.0,0,0,0,1867.0107970636402,0.18670107970636401,120,-26.0878564453125,1,0,6.844,7.4472,3.106686,7.82997880685661,2.1795070361707154
28,2.80672025680542,13,2.741311162821969,0.7931881599080794,-1.0044710215402306,0.9999999999999999,0.9999999999999999,9899,205,0.00021946989648749827,0.9999999999999999,9899,0.9999999999999999,0.0,0,0,0,7088.405705891984,0.7088405705891985,120,-16.9486572265625,0,0,6.844,7.4472,3.106686,7.817156085354103,2.1720282856393562
32,3.2073631286621094,17,2.7284710943058967,0.8130363631251463,-1.0085543813500097,1.0,1.0,9890,227,0.00036960684827227564,1.0,9890,1.0,0.0,0,0,0,4793.792825825558,0.4793792825825558,120,-19.0812939453125,0,0,6.844,7.4472,3.106686,7.807029225924308,2.1679449258295773
36,3.608685255050659,21,2.718218317091297,0.8290506857254971,-1.0137114710100885,1.0000000000000002,1.0000000000000002,9861,1083,0.0005851717796036393,1.0000000000000002,9861,1.0000000000000002,0.0,0,0,0,3323.7826360466324,0.33237826360466327,120,-23.761416015625,0,0,6.844,7.4472,3.106686,7.79884445549833,2.1627878361694983
