t,x,y,theta
257.6,11.566775068415888,-8.38266894011138,-1.5602487076504292
257.7,11.56700325178889,-8.417852896985904,-1.5619117076504292
257.8,11.567197070054382,-8.453156084894077,-1.5623467076504292
257.9,11.567386970720756,-8.488266289247472,-1.5621027076504292
258.0,11.5675767417176,-8.523488801139282,-1.5624287076504293
258.1,11.567743041049043,-8.55820267359011,-1.5634367076504292
258.2,11.567869969446928,-8.5937698894241,-1.5648107076504292
258.3,11.567995886893133,-8.629001926234322,-1.5634257076504292
258.4,11.568159425218871,-8.664287110663713,-1.5625177076504293
258.5,11.568340581984604,-8.699011765352077,-1.5622427076504293
258.6,11.56854822332877,-8.735576344921276,-1.5616847076504292
258.7,11.56877961511154,-8.771706332823888,-1.5607827076504293
258.8,11.56901985350556,-8.806945277664985,-1.5608097076504293
258.9,11.569245970105705,-8.842191810321166,-1.5614047076504292
259.0,11.56943092823397,-8.875798841839746,-1.5626577076504293
259.1,11.569584635401323,-8.910406250975747,-1.5636587076504291
259.2,11.569741372423104,-8.945667048066937,-1.5627747076504293
259.3,11.569937721760397,-8.979742048858393,-1.5610697076504292
259.4,11.57018227174762,-9.014755617546886,-1.5604527076504293
259.5,11.570421374505939,-9.049690253810498,-1.5613757076504293
259.6,11.570661255281422,-9.083951044843596,-1.5602117076504292
259.7,11.57092626803733,-9.119279851973744,-1.5603537076504292
259.8,11.571178426797344,-9.154767529411973,-1.5608947076504291
259.9,11.571396013458546,-9.189743963493292,-1.5620217076504292
260.0,11.571605818792825,-9.224657943984232,-1.5613907076504292
260.1,11.571814209671679,-9.258205790148205,-1.5616027076504293
260.2,11.572039006587422,-9.292543940583931,-1.5608387076504293
260.3,11.572262875366617,-9.327601124494933,-1.5618397076504293
260.4,11.572432570571946,-9.360600004681043,-1.5633757076504293
260.5,11.572573136984099,-9.396038803208699,-1.5642107076504292
260.6,11.572714041534123,-9.431169314718037,-1.5633367076504292
260.7,11.57287309174273,-9.467958702875917,-1.5633767076504292
260.8,11.57302177563478,-9.5035852541839,-1.5636447076504292
260.9,11.573170391668205,-9.537913281716435,-1.5630097076504292
261.0,11.573340517289681,-9.571102345536811,-1.5620567076504293
261.1,11.573531672274578,-9.605781689789143,-1.5623697076504293
261.2,11.57370443370988,-9.638037444415046,-1.5624997076504292
261.3,11.573902904707051,-9.673159118268428,-1.5617567076504293
261.4,11.574106245906059,-9.708959745935505,-1.5623327076504292
261.5,11.574274571110648,-9.743476804017352,-1.5632357076504293
261.6,11.574430944051347,-9.778667338263132,-1.5630807076504292
261.7,11.574576094875216,-9.814238288155401,-1.5638967076504293
261.8,11.574708951742345,-9.848040927594544,-1.5635127076504292
261.9,11.574825030551917,-9.882717344749581,-1.5650227076504293
262.0,11.574887233533639,-9.915285800236278,-1.5664697076504293
262.1,11.574937368107921,-9.95122723887644,-1.5662097076504293
262.2,11.574976173330594,-9.987294933786908,-1.5672717076504292
262.3,11.575003441194651,-10.022072675252732,-1.5667897076504291
262.4,11.575031341434139,-10.055747454978466,-1.5673687076504292
262.5,11.57502749146875,-10.090153226444567,-1.5684637076504293
262.6,11.574988848980311,-10.12484019442619,-1.5693717076504292
262.7,11.574935307188683,-10.160601463115606,-1.5693247076504293
262.8,11.574877690153786,-10.194332035276144,-1.569697707650429
262.9,11.574802851165723,-10.228164058924248,-1.570304707650429
263.0,11.574727588778428,-10.26329593249474,-1.5695287076504294
263.1,11.574677972017652,-10.297122972243692,-1.5689457076504292
263.2,11.574633676832564,-10.332279136396462,-1.5691727076504292
263.3,11.574590133213581,-10.365990037792795,-1.5689627076504293
263.4,11.57455784665645,-10.400755520754753,-1.5682917076504292
263.5,11.574503987130287,-10.434887138899098,-1.5702777076504293
263.6,11.574394717715357,-10.469504208116394,-1.571432707650429
263.7,11.574242505891723,-10.504744062167747,-1.5725087076504294
263.8,11.574079478916948,-10.540135247090062,-1.571861707650429
