scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
0,0.0,-8.339810134252224,-11.86722700381735,0.0414525055199432,-11.7,-11.7,0.0,3.3643484963183856,0.0414525055199432,4.352211221626399,56,-356.4355266666667,1051,0.3163166873313149,0.3165219930916481,15,0.3165219930916481,0,0.0,0,0.3165219930916481,0.0,0,0,2.002300314058196e-33,179,1.8139744773111947e-18,12
2,0.4,-8.199939604822166,-11.861191787286348,0.04596118513620272,-11.561538,-11.7,0.0,3.3654608247238236,0.04596118513620272,1825.8661951188612,56,-11.591573333333333,1369,0.0008783611947219341,0.5545383575250018,850,0.2559174072283531,0,0.2559174072283531,920,0.5545383575250018,0.2559174072283531,1,0,1.3774555696990815e-61,2923,1.3774555696990815e-61,2
4,1.0,-7.996369415869489,-11.852157736275984,0.03860347234825756,-11.353846,-11.7,0.0,3.360922639647233,0.03860347234825756,173.7180117911999,56,-115.35874000000001,2115,0.02834527543045426,0.28271318786697885,21,0.39045096851178906,0,0.39045096851178906,926,0.41862577269599033,0.3231841878700711,2,0,1.0326067507796202e-122,2405,4.405403172875838e-72,4
6,1.4,-7.857728990550608,-11.845422250026436,0.04694768343970632,-11.215385,-11.7,0.0,3.360803699800744,0.04694768343970632,1365.4402091417317,56,-106.82764666666667,2334,0.001559042077559142,0.2732744920832344,240,0.40281831620964714,0,0.40281831620964714,1131,0.2732744920832344,0.40281831620964714,1,0,1.30453507921166e-112,2435,6.838190419974718e-111,3
8,1.8,-7.712642086973657,-11.838600518269406,0.025053505280165884,-11.076923,-11.7,0.0,3.367134711504414,0.02505350528016588,1137.5697908740196,56,-14.674039999999998,152,0.002099306786222883,0.1218931697187538,175,0.07328062028857067,0,0.07328062028857067,1175,0.1218931697187538,0.07328062028857067,1,0,1.2708714412757617e-10,2901,1.2708714412757617e-10,1
10,2.3,-7.539954815109155,-11.83210819960489,0.04542705201407537,-10.903846,-11.7,0.0,3.36648429079792,0.04542705201407537,665.6964488061434,56,-15.459959999999999,765,0.002823248755598235,0.6304600220649121,562,0.10928569290049212,0,0.10928569290049212,213,0.6304600220649121,0.10928569290049212,1,0,9.373597240461652e-150,2964,0.0,0
12,2.7,-7.3897065617553865,-11.823816283025222,0.05027130552545149,-10.765385,-11.7,0.0,3.3779483996017134,0.05027130552545149,1970.4217253767001,56,-10.971453333333333,656,0.0008232342743739219,0.17788485178177377,675,0.04769847452330922,0,0.04769847452330922,316,0.17788485178177377,0.04769847452330922,1,0,5.525108628159644e-136,2959,0.0,0
14,3.1,-7.251192914903431,-11.8140933689401,0.04672325589841442,-10.626923,-11.7,0.0,3.3776576061321237,0.04672325589841442,1262.6917898618972,56,-11.526193333333334,827,0.001541407054405602,0.8333892850249752,1839,0.017925158542662988,0,0.017925158542662988,316,0.8333892850249752,0.017925158542662988,1,0,6.314922607505514e-270,2961,0.0,0
16,3.5,-7.1207655307241415,-11.804099322378594,0.047105966646256575,-10.488462,-11.7,0.0,3.369304999268064,0.047105966646256575,2041.0182606881656,56,-10.503540000000001,175,0.0007942369064674514,0.12885941289186104,390,0.007817359797824738,0,0.007817359797824738,53,0.12885941289186104,0.007817359797824738,1,0,3.30379715578315e-67,2934,3.30379715578315e-67,1
18,3.9,-6.96683019159725,-11.795068182110043,0.04951503014134743,-10.35,-11.7,0.0,3.384505268386741,0.04951503014134742,1167.5852047874826,56,-12.817406666666667,347,0.003393059663822229,0.20635974814244532,390,0.004760864087474291,0,0.004760864087474291,53,0.1676095805171532,0.006289111942649514,2,0,1.8215695295024502e-126,2931,1.8215695295024502e-126,1
