scan_index,t,odom_index,x,y,theta,selected_cluster_mass,candidate_cluster_mass,candidate_cluster_count,best_particle,best_particle_weight,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,selected_switched,hypothesis_switches,ess,ess_ratio,beams,mean_log_likelihood,stable_now,accepted,reference_x,reference_y,reference_theta,reference_position_error_m,reference_heading_error_rad
0,0.0,0,3.0557077334657774,0.5884062935167185,0.024621221501156615,0.9729202665977258,0.9729202665977258,14,5460,0.9726250215001234,0.0,0,0.9729202665977258,0.0,0,0,0,1.0563566896425063,0.00017605944827375105,72,-353.77180612947666,1,0,6.844,7.4472,3.106686,7.835445705559938,3.082064778498843
2,0.200612410902977,0,3.0557916527920255,0.5883722827494182,0.024613672839201187,0.9999419313016608,0.9999419313016608,5719,164,0.00017487616606764723,0.9999419313016608,5719,0.9999419313016608,0.0,0,0,0,5718.628361784083,0.9531047269640138,72,-7.163261880165291,0,0,6.844,7.4472,3.106686,7.835434904125042,3.0820723271607986
4,0.4004908800125122,0,3.0557916566785925,0.5883722812817908,0.024613672431321315,0.9999902454690023,0.9999902454690023,5719,164,0.0001748846179554015,0.9999902454690023,5719,0.9999902454690023,0.0,0,0,0,5718.110030377331,0.9530183383962219,72,-9.613873106060607,0,0,6.844,7.4472,3.106686,7.8354349035307,3.0820723275686785
6,0.6013879776000977,0,3.0473526808700964,0.6031430617897939,-0.002009129917777339,0.0542399717743266,0.0542399717743266,300,2,0.0011203491658585655,0.9977578709558421,5719,0.0542399717743266,0.0,0,0,0,5662.086639588828,0.943681106598138,72,-15.117058367768598,0,0,6.844,7.4472,3.106686,7.8265986379345875,3.108695129917777
8,0.8023958206176758,0,2.9612254339115176,0.7538920021176588,-0.29489367972104785,0.0928646862098351,0.0928646862098351,300,2,0.021494672697139724,0.9570040227629099,5719,0.0928646862098351,0.0,0,0,0,922.3281934281806,0.15372136557136343,72,-12.24667699724518,0,0,6.844,7.4472,3.106686,7.737978436618915,2.881605627458539
10,1.003000020980835,0,2.8515116770052447,0.9459245258202226,-0.6678938764876254,0.9117323550129526,0.9117323550129526,250,0,0.00364692942005181,0.9999996906737948,5880,0.9117323550129526,0.0,0,0,0,300.6246312003287,0.05010410520005478,72,-12.96448863636364,1,0,6.844,7.4472,3.106686,7.629321450851377,2.508605430691961
12,1.2039695978164673,0,2.851511677005244,0.9459245258202222,-0.6678938764876255,0.9994738746580477,0.9994738746580477,5360,0,0.00018646900646605364,0.9994738746580477,5360,0.9994738746580477,0.0,0,0,0,5365.629202938685,0.8942715338231142,72,-8.337327823691464,0,0,6.844,7.4472,3.106686,7.629321450851378,2.508605430691961
14,1.4036059379577637,0,2.851511677005244,0.9459245258202225,-0.6678938764876254,0.9999973583520047,0.9999973583520047,5360,0,0.0001865666713343292,0.9999973583520047,5360,0.9999973583520047,0.0,0,0,0,5360.028318193283,0.8933380530322138,72,-8.803447830578515,0,0,6.844,7.4472,3.106686,7.629321450851378,2.508605430691961
16,1.6045506000518799,1,2.866620742589701,0.9340036299422817,-0.6496100560739613,0.9999999728552604,0.9999999728552604,5360,3809,0.002037942261682258,0.9999999728552604,5360,0.9999999728552604,0.0,0,0,0,2399.1179908825447,0.3998529984804241,72,-15.356241391184577,0,0,6.844,7.4472,3.106686,7.631596996187019,2.5268892511056253
18,1.8039674758911133,3,2.893385297001705,0.9134238516055435,-0.6292392385015073,0.9999999999967498,0.9999999999967498,5880,2266,0.0020735286613144306,0.9999999999967498,5880,0.9999999999967498,0.0,0,0,0,2705.84666737098,0.45097444456183,72,-14.34114152892562,0,0,6.844,7.4472,3.106686,7.635285671726671,2.5472600686780793
