scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood
0,0.0,-2.4527396547516824,11.756597405269911,0.08565043646888368,0.0,-12.0,3.141593,23.882877801681868,3.0559425635311164,1.4543084773795705,56,-299.3944533333334
2,0.4,-2.45499706420494,11.98528146084882,0.03146028135218305,-0.13913,-12.0,3.141593,24.09682483264563,3.110132718647817,1679.1913873124645,56,-11.3686
4,1.0,-1.9883077855037772,11.508842849867996,0.03174101755603207,-0.347826,-12.0,3.141593,23.566010961305253,3.109851982443968,1125.97792101704,56,-11.135966666666667
6,1.4,-2.089424751157038,12.006933426225157,0.018471013658185247,-0.486957,-12.0,3.141593,24.06035651075655,3.1231219863418147,2368.978456896026,56,-8.820253333333334
8,1.8,-1.9652493579692862,12.008020226472881,0.011924854660604037,-0.626087,-12.0,3.141593,24.045340318151723,3.1296681453393957,1768.9126333386614,56,-9.408140000000001
10,2.3,-1.6923881479477394,11.565847052050099,0.02328837358599014,-0.8,-12.0,3.141593,23.58273741293016,3.1183046264140097,1097.097032663775,56,-11.280220000000002
12,2.7,-1.6363778946335605,12.0178000332754,0.005916740644476183,-0.93913,-12.0,3.141593,24.027918616995827,3.135676259355524,2556.562932554256,56,-9.891813333333333
14,3.1,-1.4935645662327044,12.019797262383502,0.00838373764645353,-1.078261,-12.0,3.141593,24.02338730441924,3.1332092623535464,2104.9862186497976,56,-10.10922
16,3.5,-1.2180723593590537,11.422231032789163,0.07677605690824284,-1.217391,-12.0,3.141593,23.422231042699632,3.064816943091757,699.0366317799975,56,-13.653393333333334
18,3.9,-1.224025895396475,12.02457559344273,0.008991914436375913,-1.356522,-12.0,3.141593,24.02494095024542,3.132601085563624,1890.984376819669,56,-10.413773333333335
20,4.5,-0.9194351305292103,11.93627186803565,0.020542504414149704,-1.565217,-12.0,3.141593,23.9449816279623,3.12105049558585,1418.739465287034,56,-10.936773333333335
22,5.1,-0.7950357193308011,12.045088012106605,0.0044791737277366205,-1.773913,-12.0,3.141593,24.06500484605318,3.1371138262722633,2550.3105461673513,56,-10.618013333333334
24,5.7,-0.6536929651719968,11.65217489648625,-0.03787678612885885,-1.982609,-12.0,3.141593,23.68947857513114,3.103715521050728,1018.3119881435293,56,-14.265273333333335
26,6.3,-0.3965406831732057,12.029700184329219,0.004926896614533305,-2.191304,-12.0,3.141593,24.096631845803238,3.1366661033854664,2302.317220148122,56,-10.879800000000001
28,6.9,-0.26873990342356474,12.033378392517438,0.0018347468028022437,-2.4,-12.0,3.141593,24.127692524507665,3.1397582531971975,1896.0218209082902,56,-10.92078
30,7.5,0.10679517117938635,11.731545933329377,0.006410901353277594,-2.608696,-12.0,3.141593,23.886401250219244,3.1351820986467223,1410.792617158672,56,-12.815573333333333
32,8.1,0.22865416138824424,12.032928590876875,0.0037435167289805553,-2.817391,-12.0,3.141593,24.22519448383034,3.1378494832710193,2565.8832173076985,56,-9.720206666666668
34,8.7,0.13984062072474293,11.62522010005425,-0.02328881248606558,-3.026087,-12.0,3.141593,23.83640330409928,3.1183034946935213,1032.4775780864002,56,-12.399553333333337
36,9.3,0.5366755645368764,11.657174385215203,0.051346812225923945,-3.234783,-12.0,3.141593,23.955913666493725,3.090246187774076,399.5101056563227,56,-14.928560000000003
38,9.9,0.5917048636516533,12.039346380376646,0.012710878267125478,-3.443478,-12.0,3.141593,24.375661532332526,3.1288821217328744,1702.0275970310597,56,-10.168773333333334
40,10.5,0.7043911873829865,11.57405744837936,0.028258056307085923,-3.652174,-12.0,3.141593,23.97323183910354,3.113334943692914,902.6663655467925,56,-11.291313333333335
42,11.1,-3.7422393720575298,11.839900281301908,0.012684438220153856,-3.86087,-12.0,3.141593,23.840195440648234,3.128908561779846,160.73894520591028,56,-14.186066666666665
44,11.7,-3.424824175023521,11.993058956101972,0.018635840956201962,-4.069565,-12.0,3.141593,24.001720121740785,3.122957159043798,2133.6348747259035,56,-8.547426666666668
46,12.3,-3.1052075263849557,11.583127766698272,0.02800240850710382,-4.278261,-12.0,3.141593,23.612284296788722,3.113590591492896,1119.1004134294922,56,-10.180826666666668
48,12.9,-3.1475626069974734,12.010438895949754,0.011852259630602293,-4.486957,-12.0,3.141593,24.047768156653195,3.1297407403693978,2294.173934187888,56,-8.839893333333334
50,13.5,-2.62188433459193,11.684685963146656,-0.01593801419070627,-4.695652,-12.0,3.141593,23.775299398808173,3.1256542929888806,1179.713910560378,56,-11.906780000000001
52,14.1,-2.73730599993112,12.014572917659612,0.011739453362378697,-4.904348,-12.0,3.141593,24.1121501207929,3.129853546637621,2351.6986857205816,56,-10.004993333333335
54,14.7,-2.5310685106014663,12.015738543091555,0.009427437925530498,-5.113043,-12.0,3.141593,24.154136085441724,3.1321655620744693,1851.803088373304,56,-10.202306666666667
56,15.3,-2.3141709321016037,11.692356085780867,-5.845909809202821e-05,-5.321739,-12.0,3.141593,23.88248736163132,3.1415338480814947,1450.404923338885,56,-10.517600000000002
58,15.9,-2.036576210037107,11.936038291178868,0.05915456825983575,-5.530435,-12.0,3.141593,24.189687437438746,3.0824384317401643,590.4780607713202,56,-14.568993333333331
60,16.4,-1.9670902138827473,11.978970408721292,-0.36244141466421737,-5.69375,-11.9625,2.761086,24.229775040085304,3.1235274146642173,2034.593450610529,56,-10.55048
62,16.8,-1.8310171614061814,11.626948908201529,-0.3409701857250215,-5.81875,-11.9125,2.761086,23.874833362640032,3.1020561857250217,1384.71633381548,56,-11.43566
64,17.2,-1.6871152571071906,11.874839907206493,-0.3061913345679049,-5.94375,-11.8625,2.761086,24.115974896417935,3.067277334567905,1797.247391276995,56,-10.479186666666669
66,17.6,-1.5068878767382214,11.40206035943985,-0.33911824633216914,-6.06875,-11.8125,2.761086,23.65853754384929,3.1002042463321695,1495.1801930638883,56,-9.464266666666667
68,18.0,-1.213165226816605,11.554479929629494,-0.38450384499402307,-6.19375,-11.7625,2.761086,23.842981728836076,3.1375954621855633,1013.351762067076,56,-12.952660000000002
70,18.4,-1.3122248741579325,11.74745977190254,-0.3768926141709929,-6.31875,-11.7125,2.761086,23.988226410782715,3.137978614170993,2589.5239268460437,56,-10.11402
72,18.8,-1.1767865759501404,11.74092689867746,0.004394941638907622,-6.454348,-11.7,3.141593,24.02768629006463,3.137198058361092,2109.6535793898224,56,-10.097166666666666
74,19.2,-1.043324204030956,11.741267360751518,0.007159052200668129,-6.593478,-11.7,3.141593,24.089359116363887,3.134433947799332,1764.207599279533,56,-10.24774
76,19.6,-0.8998135221778616,11.61097993627406,0.004346353712273715,-6.732609,-11.7,3.141593,24.0296335526673,3.137246646287726,1484.1368442956891,56,-10.47344
78,20.0,-0.7509950290025296,11.740921835241696,0.0059955414715777335,-6.871739,-11.7,3.141593,24.22685128621573,3.135597458528422,2581.686449405401,56,-9.126686666666668
80,20.4,-0.6101133821018917,11.741990642759525,0.010129133067997016,-7.01087,-11.7,3.141593,24.300136019717904,3.1314638669320027,2259.062259759144,56,-9.722960000000002
82,20.8,-0.4801536425626529,11.742742604156653,0.007742666900761308,-7.15,-11.7,3.141593,24.373121081153347,3.1338503330992387,1878.4618923928408,56,-10.343453333333333
84,21.2,-0.41698385975777014,11.46665497375461,0.003995938568289912,-7.28913,-11.7,3.141593,24.164442787820196,3.13759706143171,1634.4893877011302,56,-10.184493333333334
86,21.6,-0.31388990418264195,11.605311381237264,-0.00954747629619105,-7.428261,-11.7,3.141593,24.36702309814288,3.132044830883396,275.5661074578435,56,-16.290233333333333
88,22.0,-0.3502981505337791,11.423524901163443,-0.01451931799528118,-7.567391,-11.7,3.141593,24.223621386005483,3.1270729891843057,1547.9284264124844,56,-10.73566
90,22.4,0.020375338979157873,11.555923312275318,-0.007526183046425174,-7.706522,-11.7,3.141593,24.505977058537244,3.1340661241331618,1380.570623272689,56,-13.830533333333333
92,22.8,-0.15575051882851196,11.369459073211441,0.027041227849224737,-7.845652,-11.7,3.141593,24.317370884219805,3.114551772150775,923.2828463711313,56,-13.287393333333336
94,23.2,11.235774422353181,-8.10259782755712,-1.5272657787930686,-7.984783,-11.7,3.141593,19.554312312537935,1.614326528386518,1.0000627535263955,56,-28.306820000000002
96,23.6,11.565622682423985,-8.518282711130205,-1.5170169595783116,-8.123913,-11.7,3.141593,19.94495275240682,1.6245753476012752,2555.9675141091316,56,-11.207353333333332
98,24.0,11.573760028051726,-8.641626473286003,-1.5185193546488167,-8.263043,-11.7,3.141593,20.071183398161335,1.6230729525307697,2039.1854840635442,56,-11.054353333333335
100,24.4,11.358458421979035,-8.572485388445445,-1.5140595909296302,-8.402174,-11.7,3.141593,20.006597445894098,1.627532716249956,1493.1612281861694,56,-11.729560000000003
102,24.8,11.598271822052553,-8.93678553055316,-1.5258982025285863,-8.541304,-11.7,3.141593,20.328252962228802,1.6156941046510005,2550.066827667713,56,-11.021573333333334
104,25.2,11.60823365618677,-9.068755406805005,-1.5263781476116274,-8.680435,-11.7,3.141593,20.458580692456486,1.615214159567959,1778.0867661683828,56,-11.67948666666667
